"","seq_id","seqnames","type","start","end","width","strand","gene_id","gene_biotype","Orthogroup"
"1","nigoni_CM008510.1","CM008510.1","gene",12016957,12025359,8403,"+","Cni-2RSSE.1","protein_coding","OG0004046"
"2","nigoni_CM008512.1","CM008512.1","gene",121648,123995,2348,"-","Cni-4R79.2","protein_coding","OG0010648"
"3","nigoni_CM008513.1","CM008513.1","gene",15056769,15059740,2972,"-","Cni-aagr-3","protein_coding","OG0002469"
"4","nigoni_CM008514.1","CM008514.1","gene",554799,558101,3303,"-","Cni-aagr-4","protein_coding","OG0007721"
"5","nigoni_CM008514.1","CM008514.1","gene",1596968,1599947,2980,"-","Cni-aak-2","protein_coding","OG0009350"
"6","nigoni_CM008514.1","CM008514.1","gene",21313072,21314887,1816,"+","Cni-aakb-1","protein_coding","OG0007667"
"7","nigoni_CM008511.1","CM008511.1","gene",6707909,6708967,1059,"-","Cni-aakb-2","protein_coding","OG0003977"
"8","nigoni_CM008511.1","CM008511.1","gene",2680289,2686565,6277,"+","Cni-aakg-1","protein_coding","OG0008898"
"9","nigoni_CM008514.1","CM008514.1","gene",1551027,1556208,5182,"+","Cni-aakg-2","protein_coding","OG0009354"
"10","nigoni_CM008514.1","CM008514.1","gene",4129416,4133888,4473,"-","Cni-aakg-3","protein_coding","OG0011036"
"11","nigoni_CM008514.1","CM008514.1","gene",4821672,4826600,4929,"+","Cni-aakg-4","protein_coding","OG0006404"
"12","nigoni_CM008510.1","CM008510.1","gene",365610,368441,2832,"-","Cni-aakg-5","protein_coding","OG0010112"
"13","nigoni_CM008509.1","CM008509.1","gene",7062879,7064589,1711,"-","Cni-aap-1","protein_coding","OG0002767"
"14","nigoni_CM008510.1","CM008510.1","gene",9265902,9268711,2810,"-","Cni-aars-1","protein_coding","OG0005687"
"15","nigoni_CM008509.1","CM008509.1","gene",8423141,8428049,4909,"-","Cni-aars-2","protein_coding","OG0007445"
"16","nigoni_CM008509.1","CM008509.1","gene",4981048,4983366,2319,"+","Cni-aat-5","protein_coding","OG0009132"
"17","nigoni_CM008513.1","CM008513.1","gene",10871193,10873091,1899,"+","Cni-aat-6","protein_coding","OG0003533"
"18","nigoni_CM008510.1","CM008510.1","gene",18160844,18163784,2941,"-","Cni-aat-7","protein_coding","OG0006477"
"19","nigoni_CM008511.1","CM008511.1","gene",14279618,14286479,6862,"+","Cni-abce-1","protein_coding","OG0003862"
"20","nigoni_CM008511.1","CM008511.1","gene",13943960,13946364,2405,"+","Cni-abcf-2","protein_coding","OG0006153"
"21","nigoni_CM008511.1","CM008511.1","gene",3495330,3501552,6223,"-","Cni-abcf-3","protein_coding","OG0006611"
"22","nigoni_CM008510.1","CM008510.1","gene",10129441,10132364,2924,"+","Cni-abch-1","protein_coding","OG0012405"
"23","nigoni_CM008509.1","CM008509.1","gene",8025281,8025580,300,"-","Cni-abf-1","protein_coding","OG0018758"
"24","nigoni_CM008514.1","CM008514.1","gene",15079897,15080377,481,"-","Cni-abf-5","protein_coding","OG0002604"
"25","nigoni_CM008514.1","CM008514.1","gene",15077635,15078309,675,"-","Cni-abf-6","protein_coding","OG0012000"
"26","nigoni_CM008509.1","CM008509.1","gene",14763127,14767955,4829,"+","Cni-abhd-11.1","protein_coding","OG0011985"
"27","nigoni_PDUG01000008.1","PDUG01000008.1","gene",154078,155563,1486,"+","Cni-abhd-11.2","protein_coding","OG0008250"
"28","nigoni_CM008513.1","CM008513.1","gene",9260097,9261988,1892,"+","Cni-abhd-12","protein_coding","OG0009170"
"29","nigoni_CM008512.1","CM008512.1","gene",19860853,19862353,1501,"+","Cni-abhd-14","protein_coding","OG0009862"
"30","nigoni_CM008511.1","CM008511.1","gene",5119081,5120726,1646,"+","Cni-abi-1","protein_coding","OG0006175"
"31","nigoni_CM008512.1","CM008512.1","gene",10913898,10921192,7295,"+","Cni-abt-1","protein_coding","OG0004363"
"32","nigoni_CM008509.1","CM008509.1","gene",5902498,5911771,9274,"+","Cni-abt-2","protein_coding","OG0008728"
"33","nigoni_CM008513.1","CM008513.1","gene",5607108,5613400,6293,"-","Cni-abt-4","protein_coding","OG0001696"
"34","nigoni_CM008509.1","CM008509.1","gene",5496854,5499934,3081,"+","Cni-abtm-1","protein_coding","OG0005404"
"35","nigoni_CM008509.1","CM008509.1","gene",5140618,5147665,7048,"-","Cni-abts-1","protein_coding","OG0002807"
"36","nigoni_CM008514.1","CM008514.1","gene",5206584,5211539,4956,"-","Cni-abts-2","protein_coding","OG0006465"
"37","nigoni_CM008510.1","CM008510.1","gene",10522697,10529669,6973,"-","Cni-abts-3","protein_coding","OG0005710"
"38","nigoni_CM008514.1","CM008514.1","gene",9700785,9702256,1472,"+","Cni-abu-10","protein_coding","OG0009038"
"39","nigoni_CM008510.1","CM008510.1","gene",19160148,19161577,1430,"-","Cni-abu-11","protein_coding","OG0006703"
"40","nigoni_CM008514.1","CM008514.1","gene",559886,564205,4320,"+","Cni-abu-12","protein_coding","OG0007720"
"41","nigoni_PDUG01000023.1","PDUG01000023.1","gene",57742,60699,2958,"+","Cni-abu-13","protein_coding","OG0008743"
"42","nigoni_CM008510.1","CM008510.1","gene",834665,837469,2805,"-","Cni-abu-14","protein_coding","OG0007976"
"43","nigoni_CM008513.1","CM008513.1","gene",11856013,11860524,4512,"+","Cni-AC3.5","protein_coding","OG0007081"
"44","nigoni_CM008512.1","CM008512.1","gene",6807564,6808738,1175,"-","Cni-AC7.3","protein_coding","OG0007222"
"45","nigoni_CM008511.1","CM008511.1","gene",14642093,14644955,2863,"+","Cni-acaa-2","protein_coding","OG0008919"
"46","nigoni_CM008509.1","CM008509.1","gene",3396463,3397029,567,"+","Cni-acbp-1","protein_coding","OG0004768"
"47","nigoni_CM008514.1","CM008514.1","gene",6403423,6404939,1517,"-","Cni-acbp-3","protein_coding","OG0006529"
"48","nigoni_CM008511.1","CM008511.1","gene",15371540,15372084,545,"-","Cni-acbp-4","protein_coding","OG0010984"
"49","nigoni_CM008511.1","CM008511.1","gene",6352392,6353498,1107,"-","Cni-acbp-5","protein_coding","OG0008885"
"50","nigoni_CM008510.1","CM008510.1","gene",12804558,12805259,702,"+","Cni-acbp-6","protein_coding","OG0010100"
"51","nigoni_CM008512.1","CM008512.1","gene",4273421,4277827,4407,"+","Cni-acc-1","protein_coding","OG0004610"
"52","nigoni_CM008512.1","CM008512.1","gene",5536120,5546709,10590,"-","Cni-acc-2","protein_coding","OG0008957"
"53","nigoni_CM008514.1","CM008514.1","gene",10748559,10752332,3774,"-","Cni-acc-3","protein_coding","OG0006330"
"54","nigoni_CM008511.1","CM008511.1","gene",15199778,15202797,3020,"+","Cni-acc-4","protein_coding","OG0008873"
"55","nigoni_CM008509.1","CM008509.1","gene",8316750,8319608,2859,"-","Cni-acd-2","protein_coding","OG0002148"
"56","nigoni_CM008514.1","CM008514.1","gene",19703606,19706095,2490,"-","Cni-acd-3","protein_coding","OG0015487"
"57","nigoni_CM008509.1","CM008509.1","gene",8031718,8035545,3828,"+","Cni-acd-5","protein_coding","OG0007227"
"58","nigoni_CM008511.1","CM008511.1","gene",5897022,5899347,2326,"+","Cni-acdh-11","protein_coding","OG0006228"
"59","nigoni_CM008510.1","CM008510.1","gene",6728201,6730344,2144,"-","Cni-acdh-12","protein_coding","OG0004953"
"60","nigoni_CM008512.1","CM008512.1","gene",15383490,15389510,6021,"+","Cni-acdh-13","protein_coding","OG0003303"
"61","nigoni_CM008514.1","CM008514.1","gene",3091891,3094076,2186,"-","Cni-acdh-7","protein_coding","OG0012428"
"62","nigoni_CM008510.1","CM008510.1","gene",18435350,18442069,6720,"+","Cni-acdh-9","protein_coding","OG0003134"
"63","nigoni_CM008514.1","CM008514.1","gene",961974,964521,2548,"+","Cni-ace-1","protein_coding","OG0009077"
"64","nigoni_CM008509.1","CM008509.1","gene",4504810,4508068,3259,"+","Cni-ace-2","protein_coding","OG0007064"
"65","nigoni_CM008510.1","CM008510.1","gene",6371717,6373277,1561,"-","Cni-acer-1","protein_coding","OG0006889"
"66","nigoni_CM008509.1","CM008509.1","gene",8462535,8466139,3605,"+","Cni-acin-1","protein_coding","OG0011426"
"67","nigoni_CM008514.1","CM008514.1","gene",2744269,2747504,3236,"+","Cni-acl-1","protein_coding","OG0010264"
"68","nigoni_CM008509.1","CM008509.1","gene",7365948,7367250,1303,"-","Cni-acl-11","protein_coding","OG0005238"
"69","nigoni_CM008514.1","CM008514.1","gene",13760583,13763113,2531,"-","Cni-acl-12","protein_coding","OG0008678"
"70","nigoni_CM008512.1","CM008512.1","gene",10633066,10634589,1524,"+","Cni-acl-13","protein_coding","OG0009931"
"71","nigoni_CM008513.1","CM008513.1","gene",14615660,14616967,1308,"-","Cni-acl-14","protein_coding","OG0007103"
"72","nigoni_CM008513.1","CM008513.1","gene",16785406,16790281,4876,"-","Cni-acl-2","protein_coding","OG0007339"
"73","nigoni_CM008512.1","CM008512.1","gene",9820782,9821815,1034,"+","Cni-acl-3","protein_coding","OG0004756"
"74","nigoni_CM008514.1","CM008514.1","gene",8679629,8682616,2988,"+","Cni-acl-4","protein_coding","OG0011014"
"75","nigoni_CM008514.1","CM008514.1","gene",7756868,7760545,3678,"+","Cni-acl-5","protein_coding","OG0003969"
"76","nigoni_CM008513.1","CM008513.1","gene",12667827,12670449,2623,"+","Cni-acl-6","protein_coding","OG0012557"
"77","nigoni_CM008510.1","CM008510.1","gene",1847104,1852336,5233,"+","Cni-acl-7","protein_coding","OG0010765"
"78","nigoni_CM008513.1","CM008513.1","gene",13427808,13429419,1612,"+","Cni-acl-8","protein_coding","OG0009221"
"79","nigoni_CM008513.1","CM008513.1","gene",13429749,13431086,1338,"+","Cni-acl-9","protein_coding","OG0004692"
"80","nigoni_CM008514.1","CM008514.1","gene",11100539,11104194,3656,"-","Cni-acn-1","protein_coding","OG0006361"
"81","nigoni_CM008514.1","CM008514.1","gene",5634007,5638128,4122,"-","Cni-aco-1","protein_coding","OG0006483"
"82","nigoni_CM008511.1","CM008511.1","gene",14960348,14964003,3656,"-","Cni-aco-2","protein_coding","OG0002445"
"83","nigoni_CM008511.1","CM008511.1","gene",10177541,10181745,4205,"+","Cni-acox-5","protein_coding","OG0008767"
"84","nigoni_CM008514.1","CM008514.1","gene",9160793,9162790,1998,"-","Cni-acp-1","protein_coding","OG0008483"
"85","nigoni_CM008510.1","CM008510.1","gene",4284082,4286447,2366,"+","Cni-acp-2","protein_coding","OG0004341"
"86","nigoni_CM008514.1","CM008514.1","gene",11860716,11862835,2120,"+","Cni-acp-5","protein_coding","OG0008546"
"87","nigoni_CM008512.1","CM008512.1","gene",8135206,8136489,1284,"-","Cni-acp-6","protein_coding","OG0005507"
"88","nigoni_CM008512.1","CM008512.1","gene",8138265,8140370,2106,"-","Cni-acp-7","protein_coding","OG0010654"
"89","nigoni_CM008514.1","CM008514.1","gene",9938023,9940436,2414,"+","Cni-acr-10","protein_coding","OG0009101"
"90","nigoni_CM008509.1","CM008509.1","gene",10300031,10301940,1910,"-","Cni-acr-11","protein_coding","OG0004977"
"91","nigoni_CM008514.1","CM008514.1","gene",20957262,20960009,2748,"+","Cni-acr-12","protein_coding","OG0009175"
"92","nigoni_CM008510.1","CM008510.1","gene",3940784,3944862,4079,"-","Cni-acr-14","protein_coding","OG0009440"
"93","nigoni_CM008513.1","CM008513.1","gene",1500608,1504729,4122,"+","Cni-acr-16","protein_coding","OG0010370"
"94","nigoni_CM008513.1","CM008513.1","gene",8289766,8292689,2924,"-","Cni-acr-17","protein_coding","OG0005120"
"95","nigoni_PDUG01000007.1","PDUG01000007.1","gene",505040,509569,4530,"+","Cni-acr-18","protein_coding","OG0005615"
"96","nigoni_CM008509.1","CM008509.1","gene",9056657,9063924,7268,"+","Cni-acr-19","protein_coding","OG0004776"
"97","nigoni_CM008514.1","CM008514.1","gene",12829994,12835067,5074,"+","Cni-acr-2","protein_coding","OG0008612"
"98","nigoni_CM008510.1","CM008510.1","gene",5384810,5391595,6786,"-","Cni-acr-20","protein_coding","OG0007529"
"99","nigoni_CM008511.1","CM008511.1","gene",277159,280914,3756,"+","Cni-acr-21","protein_coding","OG0005179"
"100","nigoni_CM008513.1","CM008513.1","gene",8456053,8459786,3734,"-","Cni-acr-23","protein_coding","OG0006954"
"101","nigoni_CM008512.1","CM008512.1","gene",1184432,1196959,12528,"+","Cni-acr-24","protein_coding","OG0003239"
"102","nigoni_CM008512.1","CM008512.1","gene",8174270,8177666,3397,"+","Cni-acr-25","protein_coding","OG0003758"
"103","nigoni_CM008514.1","CM008514.1","gene",12835524,12837911,2388,"+","Cni-acr-3","protein_coding","OG0013221"
"104","nigoni_CM008511.1","CM008511.1","gene",2040813,2049496,8684,"+","Cni-acr-5","protein_coding","OG0006619"
"105","nigoni_PDUG01000022.1","PDUG01000022.1","gene",17166,19393,2228,"+","Cni-acr-6","protein_coding","OG0007839"
"106","nigoni_CM008510.1","CM008510.1","gene",7472778,7475115,2338,"-","Cni-acr-7","protein_coding","OG0011462"
"107","nigoni_CM008514.1","CM008514.1","gene",7615283,7619608,4326,"-","Cni-acr-8","protein_coding","OG0006564"
"108","nigoni_CM008514.1","CM008514.1","gene",21129126,21133312,4187,"-","Cni-acr-9","protein_coding","OG0006790"
"109","nigoni_CM008513.1","CM008513.1","gene",13492165,13497312,5148,"+","Cni-acs-1","protein_coding","OG0009211"
"110","nigoni_CM008513.1","CM008513.1","gene",20995980,20998549,2570,"-","Cni-acs-12","protein_coding","OG0005569"
"111","nigoni_CM008509.1","CM008509.1","gene",2195327,2200783,5457,"+","Cni-acs-13","protein_coding","OG0005344"
"112","nigoni_CM008513.1","CM008513.1","gene",14809699,14811605,1907,"+","Cni-acs-14","protein_coding","OG0002467"
"113","nigoni_CM008514.1","CM008514.1","gene",11967369,11970543,3175,"-","Cni-acs-17","protein_coding","OG0008556"
"114","nigoni_CM008511.1","CM008511.1","gene",11805264,11808149,2886,"-","Cni-acs-19","protein_coding","OG0006019"
"115","nigoni_PDUG01000007.1","PDUG01000007.1","gene",480339,493994,13656,"-","Cni-acs-2","protein_coding","OG0010698"
"116","nigoni_CM008512.1","CM008512.1","gene",10601176,10603890,2715,"-","Cni-acs-20","protein_coding","OG0009929"
"117","nigoni_CM008514.1","CM008514.1","gene",16003279,16007236,3958,"-","Cni-acs-22","protein_coding","OG0008979"
"118","nigoni_CM008513.1","CM008513.1","gene",6532416,6535686,3271,"+","Cni-acs-3","protein_coding","OG0003663"
"119","nigoni_CM008511.1","CM008511.1","gene",8624219,8626699,2481,"+","Cni-acs-4","protein_coding","OG0004784"
"120","nigoni_CM008511.1","CM008511.1","gene",15159541,15163360,3820,"-","Cni-acs-5","protein_coding","OG0008872"
"121","nigoni_CM008510.1","CM008510.1","gene",1238618,1244397,5780,"+","Cni-acs-7","protein_coding","OG0007960"
"122","nigoni_CM008514.1","CM008514.1","gene",1531493,1533455,1963,"+","Cni-acs-9","protein_coding","OG0009356"
"123","nigoni_CM008511.1","CM008511.1","gene",7847328,7854402,7075,"+","Cni-acy-1","protein_coding","OG0011766"
"124","nigoni_CM008513.1","CM008513.1","gene",13019175,13023622,4448,"+","Cni-acy-2","protein_coding","OG0007031"
"125","nigoni_CM008511.1","CM008511.1","gene",9030948,9040335,9388,"+","Cni-acy-3","protein_coding","OG0006625"
"126","nigoni_CM008513.1","CM008513.1","gene",12790738,12793591,2854,"-","Cni-acy-4","protein_coding","OG0006035"
"127","nigoni_CM008514.1","CM008514.1","gene",10883555,10888204,4650,"-","Cni-add-1","protein_coding","OG0006338"
"128","nigoni_CM008513.1","CM008513.1","gene",10229107,10231991,2885,"+","Cni-add-2","protein_coding","OG0010058"
"129","nigoni_CM008514.1","CM008514.1","gene",21240410,21248370,7961,"+","Cni-adm-2","protein_coding","OG0006764"
"130","nigoni_CM008514.1","CM008514.1","gene",14335361,14339723,4363,"-","Cni-adm-4","protein_coding","OG0003975"
"131","nigoni_CM008509.1","CM008509.1","gene",219357,224789,5433,"-","Cni-adpr-1","protein_coding","OG0003360"
"132","nigoni_CM008511.1","CM008511.1","gene",15462596,15464333,1738,"-","Cni-adr-2","protein_coding","OG0006258"
"133","nigoni_CM008511.1","CM008511.1","gene",1619398,1622440,3043,"+","Cni-ads-1","protein_coding","OG0008158"
"134","nigoni_CM008509.1","CM008509.1","gene",7637072,7638801,1730,"-","Cni-adsl-1","protein_coding","OG0005266"
"135","nigoni_CM008513.1","CM008513.1","gene",2358387,2360675,2289,"-","Cni-adss-1","protein_coding","OG0009262"
"136","nigoni_CM008514.1","CM008514.1","gene",15196701,15205607,8907,"-","Cni-adt-1","protein_coding","OG0007703"
"137","nigoni_CM008514.1","CM008514.1","gene",13927649,13936129,8481,"+","Cni-adt-2","protein_coding","OG0004509"
"138","nigoni_CM008509.1","CM008509.1","gene",7944543,7953954,9412,"-","Cni-aex-1","protein_coding","OG0002778"
"139","nigoni_CM008514.1","CM008514.1","gene",2595881,2597673,1793,"-","Cni-aex-2","protein_coding","OG0010255"
"140","nigoni_CM008514.1","CM008514.1","gene",354074,359323,5250,"+","Cni-aex-3","protein_coding","OG0007736"
"141","nigoni_CM008514.1","CM008514.1","gene",9658370,9660264,1895,"+","Cni-aex-4","protein_coding","OG0004635"
"142","nigoni_CM008509.1","CM008509.1","gene",15954074,15958919,4846,"+","Cni-aex-5","protein_coding","OG0008987"
"143","nigoni_CM008509.1","CM008509.1","gene",15814859,15817612,2754,"-","Cni-aex-6","protein_coding","OG0007810"
"144","nigoni_CM008514.1","CM008514.1","gene",12758254,12760566,2313,"-","Cni-aexr-1","protein_coding","OG0001369"
"145","nigoni_CM008514.1","CM008514.1","gene",12755125,12757611,2487,"-","Cni-aexr-2","protein_coding",NA
"146","nigoni_CM008514.1","CM008514.1","gene",15970644,15973596,2953,"+","Cni-aexr-3","protein_coding","OG0001872"
"147","nigoni_CM008509.1","CM008509.1","gene",5878342,5883125,4784,"-","Cni-afd-1","protein_coding","OG0011885"
"148","nigoni_CM008510.1","CM008510.1","gene",6325083,6330565,5483,"-","Cni-aff-1","protein_coding","OG0006887"
"149","nigoni_CM008512.1","CM008512.1","gene",8875489,8876602,1114,"+","Cni-afmd-1","protein_coding","OG0003180"
"150","nigoni_CM008512.1","CM008512.1","gene",11779526,11780263,738,"+","Cni-afmd-2","protein_coding","OG0014161"
"151","nigoni_CM008510.1","CM008510.1","gene",9313083,9316965,3883,"-","Cni-age-1","protein_coding","OG0005679"
"152","nigoni_CM008510.1","CM008510.1","gene",5264812,5276618,11807,"+","Cni-agl-1","protein_coding","OG0004223"
"153","nigoni_CM008511.1","CM008511.1","gene",1426108,1430023,3916,"+","Cni-agmo-1","protein_coding","OG0010005"
"154","nigoni_CM008510.1","CM008510.1","gene",6207445,6220067,12623,"-","Cni-agr-1","protein_coding","OG0006878"
"155","nigoni_CM008514.1","CM008514.1","gene",11301311,11309438,8128,"-","Cni-ags-3","protein_coding","OG0008504"
"156","nigoni_CM008512.1","CM008512.1","gene",11697497,11697996,500,"-","Cni-agt-1","protein_coding","OG0009597"
