"","seq_id","seqnames","type","start","end","width","strand","gene_id","gene_biotype","Orthogroup"
"1","tribulationis_CSP40.scaffold00002","CSP40.scaffold00002","gene",186,495,310,"+","CSP40.g1","protein_coding","OG0000156"
"2","tribulationis_CSP40.scaffold00005","CSP40.scaffold00005","gene",20261,22231,1971,"+","CSP40.g10","protein_coding","OG0006737"
"3","tribulationis_CSP40.scaffold00009","CSP40.scaffold00009","gene",174562,174915,354,"-","CSP40.g100","protein_coding","OG0000147"
"4","tribulationis_CSP40.scaffold00038","CSP40.scaffold00038","gene",234060,234533,474,"+","CSP40.g1000","protein_coding","OG0011470"
"5","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",2214,6027,3814,"-","CSP40.g10000","protein_coding","OG0023992"
"6","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",9649,10306,658,"-","CSP40.g10001","protein_coding","OG0023993"
"7","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",10387,10928,542,"-","CSP40.g10002","protein_coding","OG0023994"
"8","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",11404,14474,3071,"+","CSP40.g10003","nontranslating_CDS",NA
"9","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",15530,15949,420,"+","CSP40.g10004","protein_coding","OG0017868"
"10","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",17250,18157,908,"+","CSP40.g10005","protein_coding","OG0016727"
"11","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",25323,25700,378,"+","CSP40.g10006","protein_coding",NA
"12","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",26601,27283,683,"+","CSP40.g10007","protein_coding","OG0012913"
"13","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",29435,33867,4433,"+","CSP40.g10008","protein_coding","OG0013791"
"14","tribulationis_CSP40.scaffold00667","CSP40.scaffold00667","gene",33998,34870,873,"+","CSP40.g10009","protein_coding","OG0000442"
"15","tribulationis_CSP40.scaffold00038","CSP40.scaffold00038","gene",234684,235262,579,"-","CSP40.g1001","protein_coding","OG0007598"
"16","tribulationis_CSP40.scaffold00668","CSP40.scaffold00668","gene",1,757,757,"-","CSP40.g10010","protein_coding",NA
"17","tribulationis_CSP40.scaffold00670","CSP40.scaffold00670","gene",2080,2661,582,"-","CSP40.g10011","protein_coding","OG0000277"
"18","tribulationis_CSP40.scaffold00670","CSP40.scaffold00670","gene",4315,5770,1456,"+","CSP40.g10012","protein_coding",NA
"19","tribulationis_CSP40.scaffold00670","CSP40.scaffold00670","gene",8764,15411,6648,"+","CSP40.g10013","protein_coding",NA
"20","tribulationis_CSP40.scaffold00670","CSP40.scaffold00670","gene",15630,16269,640,"+","CSP40.g10014","protein_coding",NA
"21","tribulationis_CSP40.scaffold00670","CSP40.scaffold00670","gene",17669,17995,327,"-","CSP40.g10015","protein_coding","OG0000039"
"22","tribulationis_CSP40.scaffold00671","CSP40.scaffold00671","gene",2,1115,1114,"+","CSP40.g10016","protein_coding",NA
"23","tribulationis_CSP40.scaffold00673","CSP40.scaffold00673","gene",2712,3737,1026,"+","CSP40.g10017","protein_coding","OG0003568"
"24","tribulationis_CSP40.scaffold00673","CSP40.scaffold00673","gene",3836,7657,3822,"-","CSP40.g10018","protein_coding","OG0005279"
"25","tribulationis_CSP40.scaffold00673","CSP40.scaffold00673","gene",8995,9874,880,"+","CSP40.g10019","protein_coding","OG0003478"
"26","tribulationis_CSP40.scaffold00038","CSP40.scaffold00038","gene",235452,238273,2822,"-","CSP40.g1002","protein_coding","OG0011471"
"27","tribulationis_CSP40.scaffold00674","CSP40.scaffold00674","gene",936,1150,215,"+","CSP40.g10020","protein_coding","OG0023995"
"28","tribulationis_CSP40.scaffold00674","CSP40.scaffold00674","gene",1511,2431,921,"+","CSP40.g10021","protein_coding","OG0015247"
"29","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",4512,5538,1027,"+","CSP40.g10022","protein_coding","OG0005456"
"30","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",5673,9523,3851,"-","CSP40.g10023","protein_coding","OG0000567"
"31","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",10348,17558,7211,"-","CSP40.g10024","protein_coding","OG0005455"
"32","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",17869,18242,374,"+","CSP40.g10025","protein_coding","OG0005454"
"33","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",18694,19135,442,"+","CSP40.g10026","protein_coding","OG0010637"
"34","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",19289,19596,308,"+","CSP40.g10027","protein_coding","OG0012757"
"35","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",19661,21038,1378,"-","CSP40.g10028","protein_coding","OG0006609"
"36","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",22197,24185,1989,"+","CSP40.g10029","protein_coding","OG0000070"
"37","tribulationis_CSP40.scaffold00038","CSP40.scaffold00038","gene",240627,241479,853,"+","CSP40.g1003","protein_coding","OG0007599"
"38","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",24543,26785,2243,"-","CSP40.g10030","protein_coding","OG0002854"
"39","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",27067,28086,1020,"+","CSP40.g10031","protein_coding","OG0003977"
"40","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",31750,33797,2048,"+","CSP40.g10032","protein_coding","OG0006607"
"41","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",34680,37729,3050,"+","CSP40.g10033","protein_coding","OG0013935"
"42","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",37995,45426,7432,"-","CSP40.g10034","protein_coding","OG0006606"
"43","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",47511,47816,306,"+","CSP40.g10035","protein_coding","OG0011092"
"44","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",48008,48670,663,"-","CSP40.g10036","protein_coding","OG0006605"
"45","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",49073,51148,2076,"-","CSP40.g10037","protein_coding","OG0006604"
"46","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",51414,54491,3078,"-","CSP40.g10038","protein_coding","OG0012955"
"47","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",54979,59437,4459,"+","CSP40.g10039","protein_coding","OG0005180"
"48","tribulationis_CSP40.scaffold00038","CSP40.scaffold00038","gene",241717,243907,2191,"+","CSP40.g1004","protein_coding","OG0007600"
"49","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",60010,61141,1132,"-","CSP40.g10040","protein_coding","OG0004007"
"50","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",61278,62551,1274,"-","CSP40.g10041","protein_coding","OG0006695"
"51","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",62902,65817,2916,"+","CSP40.g10042","protein_coding","OG0006696"
"52","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",66112,68402,2291,"-","CSP40.g10043","protein_coding","OG0006697"
"53","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",70372,75287,4916,"+","CSP40.g10044","protein_coding","OG0006698"
"54","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",75503,76100,598,"-","CSP40.g10045","protein_coding","OG0015439"
"55","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",76384,76900,517,"+","CSP40.g10046","protein_coding","OG0012968"
"56","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",77198,78481,1284,"-","CSP40.g10047","protein_coding","OG0006700"
"57","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",91191,94914,3724,"+","CSP40.g10048","protein_coding","OG0004008"
"58","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",95401,97225,1825,"+","CSP40.g10049","protein_coding","OG0012969"
"59","tribulationis_CSP40.scaffold00038","CSP40.scaffold00038","gene",246473,250454,3982,"+","CSP40.g1005","protein_coding","OG0007602"
"60","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",97406,99726,2321,"-","CSP40.g10050","protein_coding","OG0004009"
"61","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",102527,103510,984,"-","CSP40.g10051","protein_coding","OG0000334"
"62","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",106423,106922,500,"+","CSP40.g10052","protein_coding","OG0004010"
"63","tribulationis_CSP40.scaffold00675","CSP40.scaffold00675","gene",107576,109877,2302,"-","CSP40.g10053","protein_coding","OG0004015"
