"","seq_id","seqnames","type","start","end","width","strand","gene_id","gene_biotype","Orthogroup"
"1","tropicalis_Scaffold0","Scaffold0","gene",37,444,408,"-","Csp11.Scaffold0.g1","protein_coding","OG0024239"
"2","tropicalis_Scaffold1","Scaffold1","gene",1,1179,1179,"-","Csp11.Scaffold1.g2","protein_coding","OG0002514"
"3","tropicalis_Scaffold10","Scaffold10","gene",812,2487,1676,"+","Csp11.Scaffold10.g42","protein_coding","OG0008612"
"4","tropicalis_Scaffold10","Scaffold10","gene",3146,5113,1968,"+","Csp11.Scaffold10.g43","protein_coding","OG0013221"
"5","tropicalis_Scaffold10","Scaffold10","gene",5440,7612,2173,"+","Csp11.Scaffold10.g44","protein_coding","OG0013222"
"6","tropicalis_Scaffold10","Scaffold10","gene",8672,8943,272,"+","Csp11.Scaffold10.g45","protein_coding","OG0002285"
"7","tropicalis_Scaffold10","Scaffold10","gene",9150,11286,2137,"-","Csp11.Scaffold10.g46","protein_coding","OG0001526"
"8","tropicalis_Scaffold10","Scaffold10","gene",12096,13370,1275,"-","Csp11.Scaffold10.g47","protein_coding","OG0011846"
"9","tropicalis_Scaffold10","Scaffold10","gene",13629,14140,512,"-","Csp11.Scaffold10.g48","protein_coding","OG0004498"
"10","tropicalis_Scaffold10","Scaffold10","gene",14372,16340,1969,"-","Csp11.Scaffold10.g49","protein_coding",NA
"11","tropicalis_Scaffold10","Scaffold10","gene",17307,17540,234,"+","Csp11.Scaffold10.g50","protein_coding",NA
"12","tropicalis_Scaffold10","Scaffold10","gene",17919,18350,432,"-","Csp11.Scaffold10.g51","protein_coding","OG0017936"
"13","tropicalis_Scaffold10","Scaffold10","gene",20155,22235,2081,"-","Csp11.Scaffold10.g52","protein_coding","OG0011847"
"14","tropicalis_Scaffold10","Scaffold10","gene",25601,25900,300,"+","Csp11.Scaffold10.g53","protein_coding",NA
"15","tropicalis_Scaffold10","Scaffold10","gene",29566,29829,264,"+","Csp11.Scaffold10.g54","protein_coding",NA
"16","tropicalis_Scaffold10","Scaffold10","gene",30478,31614,1137,"+","Csp11.Scaffold10.g55","protein_coding","OG0008613"
"17","tropicalis_Scaffold10","Scaffold10","gene",34941,42758,7818,"-","Csp11.Scaffold10.g56","protein_coding","OG0011848"
"18","tropicalis_Scaffold10","Scaffold10","gene",45607,50400,4794,"-","Csp11.Scaffold10.g57","protein_coding","OG0008614"
"19","tropicalis_Scaffold10","Scaffold10","gene",53999,54301,303,"+","Csp11.Scaffold10.g58","protein_coding",NA
"20","tropicalis_Scaffold10","Scaffold10","gene",57199,58177,979,"+","Csp11.Scaffold10.g59","protein_coding","OG0011849"
"21","tropicalis_Scaffold102","Scaffold102","gene",766,1308,543,"+","Csp11.Scaffold102.g550","protein_coding","OG0004213"
"22","tropicalis_Scaffold105","Scaffold105","gene",695,2844,2150,"+","Csp11.Scaffold105.g551","protein_coding","OG0002085"
"23","tropicalis_Scaffold109","Scaffold109","gene",570,2140,1571,"-","Csp11.Scaffold109.g552","protein_coding","OG0004299"
"24","tropicalis_Scaffold11","Scaffold11","gene",581,1541,961,"+","Csp11.Scaffold11.g60","protein_coding","OG0019871"
"25","tropicalis_Scaffold111","Scaffold111","gene",156,1884,1729,"+","Csp11.Scaffold111.g553","protein_coding","OG0010112"
"26","tropicalis_Scaffold115","Scaffold115","gene",1284,1550,267,"+","Csp11.Scaffold115.g554","protein_coding",NA
