"","seq_id","seqnames","type","start","end","width","strand","gene_id","gene_biotype","Orthogroup"
"1","becei_CSP29.scaffold1177_cov147","CSP29.scaffold1177_cov147","gene",76,315,240,"+","CSP29.g1","protein_coding","OG0000219"
"2","becei_CSP29.scaffold1177_cov147","CSP29.scaffold1177_cov147","gene",37985,38380,396,"+","CSP29.g10","protein_coding","OG0013809"
"3","becei_CSP29.scaffold30940_cov143","CSP29.scaffold30940_cov143","gene",62739,63341,603,"-","CSP29.g100","protein_coding","OG0005099"
"4","becei_CSP29.scaffold640_cov165","CSP29.scaffold640_cov165","gene",206050,206421,372,"-","CSP29.g1000","protein_coding","OG0000062"
"5","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",511699,513875,2177,"-","CSP29.g10000","protein_coding","OG0000197"
"6","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",512790,513032,243,"+","CSP29.g10001","protein_coding",NA
"7","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",515396,520202,4807,"-","CSP29.g10002","protein_coding","OG0019934"
"8","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",523176,523769,594,"+","CSP29.g10003","protein_coding",NA
"9","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",527077,527289,213,"-","CSP29.g10004","protein_coding","OG0019935"
"10","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",530291,531072,782,"+","CSP29.g10005","protein_coding","OG0002743"
"11","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",531245,532957,1713,"+","CSP29.g10006","protein_coding","OG0000058"
"12","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",535511,536816,1306,"+","CSP29.g10007","protein_coding","OG0000760"
"13","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",538123,540194,2072,"-","CSP29.g10008","protein_coding","OG0000323"
"14","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",542984,544288,1305,"+","CSP29.g10009","protein_coding","OG0002316"
"15","becei_CSP29.scaffold640_cov165","CSP29.scaffold640_cov165","gene",206675,207058,384,"+","CSP29.g1001","protein_coding","OG0000055"
"16","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",544377,545327,951,"+","CSP29.g10010","protein_coding","OG0002317"
"17","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",546553,547584,1032,"+","CSP29.g10011","protein_coding",NA
"18","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",547748,555571,7824,"-","CSP29.g10012","protein_coding","OG0000761"
"19","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",556033,557131,1099,"-","CSP29.g10013","protein_coding","OG0015914"
"20","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",557327,558428,1102,"-","CSP29.g10014","protein_coding",NA
"21","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",559209,561237,2029,"+","CSP29.g10015","protein_coding","OG0000114"
"22","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",561722,563571,1850,"-","CSP29.g10016","protein_coding","OG0000378"
"23","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",564404,565844,1441,"+","CSP29.g10017","protein_coding","OG0000161"
"24","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",565941,567000,1060,"-","CSP29.g10018","protein_coding",NA
"25","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",567488,568628,1141,"-","CSP29.g10019","protein_coding",NA
"26","becei_CSP29.scaffold640_cov165","CSP29.scaffold640_cov165","gene",207940,208806,867,"-","CSP29.g1002","protein_coding","OG0012713"
"27","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",569357,571053,1697,"+","CSP29.g10020","protein_coding","OG0000249"
"28","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",571158,573594,2437,"-","CSP29.g10021","protein_coding",NA
"29","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",573798,574340,543,"+","CSP29.g10022","protein_coding",NA
"30","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",574651,575093,443,"-","CSP29.g10023","protein_coding",NA
"31","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",575529,576536,1008,"-","CSP29.g10024","protein_coding","OG0000102"
"32","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",576697,578156,1460,"-","CSP29.g10025","protein_coding","OG0000071"
"33","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",578353,587404,9052,"+","CSP29.g10026","protein_coding","OG0015915"
"34","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",589509,589772,264,"+","CSP29.g10027","protein_coding",NA
"35","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",590205,592207,2003,"-","CSP29.g10028","protein_coding","OG0015196"
"36","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",592667,593842,1176,"-","CSP29.g10029","protein_coding","OG0010515"
"37","becei_CSP29.scaffold640_cov165","CSP29.scaffold640_cov165","gene",209696,210562,867,"+","CSP29.g1003","protein_coding",NA
"38","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",596164,596785,622,"+","CSP29.g10030","protein_coding",NA
"39","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",598901,599654,754,"-","CSP29.g10031","protein_coding",NA
"40","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",599886,601359,1474,"-","CSP29.g10032","protein_coding","OG0002744"
"41","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",602831,605399,2569,"+","CSP29.g10033","protein_coding","OG0001621"
"42","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",605704,606890,1187,"+","CSP29.g10034","protein_coding","OG0002055"
"43","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",609457,611950,2494,"-","CSP29.g10035","protein_coding","OG0000529"
"44","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",613146,614702,1557,"+","CSP29.g10036","protein_coding","OG0003518"
"45","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",615412,616848,1437,"-","CSP29.g10037","protein_coding","OG0000821"
"46","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",617492,619965,2474,"+","CSP29.g10038","protein_coding","OG0005100"
"47","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",620923,622475,1553,"+","CSP29.g10039","protein_coding",NA
"48","becei_CSP29.scaffold640_cov165","CSP29.scaffold640_cov165","gene",211317,211727,411,"-","CSP29.g1004","protein_coding","OG0000009"
"49","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",622732,624914,2183,"-","CSP29.g10040","protein_coding","OG0001442"
"50","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",626481,628991,2511,"+","CSP29.g10041","protein_coding","OG0003519"
"51","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",629125,630243,1119,"-","CSP29.g10042","protein_coding","OG0000269"
"52","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",630763,631833,1071,"-","CSP29.g10043","protein_coding",NA
"53","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",632395,633583,1189,"-","CSP29.g10044","protein_coding",NA
"54","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",634165,639655,5491,"-","CSP29.g10045","protein_coding",NA
"55","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",639976,641103,1128,"-","CSP29.g10046","protein_coding",NA
"56","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",641466,642163,698,"-","CSP29.g10047","protein_coding","OG0000011"
"57","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",643262,644971,1710,"-","CSP29.g10048","protein_coding","OG0001443"
"58","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",646149,648068,1920,"+","CSP29.g10049","protein_coding","OG0000431"
"59","becei_CSP29.scaffold640_cov165","CSP29.scaffold640_cov165","gene",211979,212290,312,"+","CSP29.g1005","protein_coding","OG0000050"
"60","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",648369,649180,812,"+","CSP29.g10050","protein_coding","OG0000013"
"61","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",651254,652255,1002,"+","CSP29.g10051","protein_coding",NA
"62","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",652363,653594,1232,"+","CSP29.g10052","protein_coding","OG0000191"
"63","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",653769,654914,1146,"+","CSP29.g10053","protein_coding","OG0001821"
"64","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",654963,655940,978,"-","CSP29.g10054","protein_coding",NA
"65","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",656263,659207,2945,"-","CSP29.g10055","protein_coding","OG0005101"
"66","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",659881,660390,510,"-","CSP29.g10056","protein_coding","OG0000220"
"67","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",660550,662922,2373,"-","CSP29.g10057","protein_coding","OG0001822"
"68","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",663641,664956,1316,"+","CSP29.g10058","protein_coding","OG0015916"
"69","becei_CSP29.scaffold1_cov172","CSP29.scaffold1_cov172","gene",667833,668045,213,"-","CSP29.g10059","protein_coding","OG0017975"
