"","seq_id","seqnames","type","start","end","width","strand","gene_id","gene_biotype","Orthogroup"
"1","latens_scaffold_0","scaffold_0","gene",720,1474,755,"+","FL83_00001","protein_coding","OG0015018"
"2","latens_scaffold_0","scaffold_0","gene",1557,5077,3521,"+","FL83_00002","protein_coding",NA
"3","latens_scaffold_0","scaffold_0","gene",5976,14032,8057,"+","FL83_00003","protein_coding","OG0011999"
"4","latens_scaffold_0","scaffold_0","gene",6829,7467,639,"-","FL83_00004","protein_coding","OG0015009"
"5","latens_scaffold_0","scaffold_0","gene",7696,8561,866,"-","FL83_00005","protein_coding","OG0013278"
"6","latens_scaffold_0","scaffold_0","gene",19890,22590,2701,"+","FL83_00006","protein_coding","OG0004637"
"7","latens_scaffold_0","scaffold_0","gene",23377,23777,401,"-","FL83_00007","protein_coding","OG0016128"
"8","latens_scaffold_0","scaffold_0","gene",35779,36567,789,"-","FL83_00008","protein_coding","OG0000196"
"9","latens_scaffold_0","scaffold_0","gene",39628,40101,474,"+","FL83_00009","protein_coding",NA
"10","latens_scaffold_0","scaffold_0","gene",41415,41902,488,"-","FL83_00010","protein_coding",NA
"11","latens_scaffold_0","scaffold_0","gene",47304,49196,1893,"-","FL83_00011","protein_coding",NA
"12","latens_scaffold_0","scaffold_0","gene",49982,56592,6611,"+","FL83_00012","protein_coding","OG0004636"
"13","latens_scaffold_0","scaffold_0","gene",63216,65022,1807,"+","FL83_00013","protein_coding","OG0009029"
"14","latens_scaffold_0","scaffold_0","gene",65203,67438,2236,"-","FL83_00014","protein_coding","OG0009028"
"15","latens_scaffold_0","scaffold_0","gene",69497,70678,1182,"-","FL83_00015","protein_coding","OG0011998"
"16","latens_scaffold_0","scaffold_0","gene",71361,73282,1922,"-","FL83_00016","protein_coding","OG0009027"
"17","latens_scaffold_0","scaffold_0","gene",75129,76178,1050,"-","FL83_00017","protein_coding","OG0011997"
"18","latens_scaffold_0","scaffold_0","gene",86114,87382,1269,"-","FL83_00018","protein_coding",NA
"19","latens_scaffold_0","scaffold_0","gene",88078,90829,2752,"+","FL83_00019","protein_coding","OG0009026"
"20","latens_scaffold_0","scaffold_0","gene",91308,96842,5535,"-","FL83_00020","protein_coding","OG0002434"
"21","latens_scaffold_0","scaffold_0","gene",98372,100422,2051,"+","FL83_00021","protein_coding","OG0006582"
"22","latens_scaffold_0","scaffold_0","gene",102724,105804,3081,"+","FL83_00022","protein_coding","OG0006583"
"23","latens_scaffold_0","scaffold_0","gene",106147,108558,2412,"-","FL83_00023","protein_coding","OG0006584"
"24","latens_scaffold_0","scaffold_0","gene",108838,117798,8961,"+","FL83_00024","protein_coding","OG0003973"
"25","latens_scaffold_0","scaffold_0","gene",124689,128975,4287,"+","FL83_00025","protein_coding","OG0003974"
"26","latens_scaffold_0","scaffold_0","gene",132000,134597,2598,"-","FL83_00026","protein_coding","OG0006586"
"27","latens_scaffold_0","scaffold_0","gene",149613,155498,5886,"+","FL83_00027","protein_coding",NA
"28","latens_scaffold_0","scaffold_0","gene",158281,164278,5998,"+","FL83_00028","protein_coding","OG0001881"
"29","latens_scaffold_0","scaffold_0","gene",164534,166294,1761,"-","FL83_00029","protein_coding","OG0006587"
"30","latens_scaffold_0","scaffold_0","gene",168971,172888,3918,"-","FL83_00030","protein_coding","OG0012950"
"31","latens_scaffold_0","scaffold_0","gene",174055,179013,4959,"-","FL83_00031","protein_coding","OG0011085"
"32","latens_scaffold_0","scaffold_0","gene",179703,181384,1682,"-","FL83_00032","protein_coding",NA
"33","latens_scaffold_0","scaffold_0","gene",184811,189413,4603,"+","FL83_00033","protein_coding","OG0006588"
"34","latens_scaffold_0","scaffold_0","gene",191203,192528,1326,"+","FL83_00034","protein_coding","OG0006589"
"35","latens_scaffold_0","scaffold_0","gene",193689,198402,4714,"+","FL83_00035","protein_coding","OG0006590"
"36","latens_scaffold_0","scaffold_0","gene",198774,199378,605,"-","FL83_00036","protein_coding","OG0011087"
"37","latens_scaffold_0","scaffold_0","gene",203871,204368,498,"-","FL83_00037","protein_coding","OG0006591"
"38","latens_scaffold_0","scaffold_0","gene",204697,206531,1835,"+","FL83_00038","protein_coding","OG0014627"
"39","latens_scaffold_0","scaffold_0","gene",207016,207349,334,"-","FL83_00039","protein_coding","OG0006592"
"40","latens_scaffold_0","scaffold_0","gene",208808,210501,1694,"-","FL83_00040","protein_coding","OG0006593"
"41","latens_scaffold_0","scaffold_0","gene",213333,215401,2069,"+","FL83_00041","protein_coding","OG0022903"
"42","latens_scaffold_0","scaffold_0","gene",218560,220456,1897,"+","FL83_00042","protein_coding","OG0002435"
"43","latens_scaffold_0","scaffold_0","gene",222452,223100,649,"-","FL83_00043","protein_coding","OG0013700"
"44","latens_scaffold_0","scaffold_0","gene",224446,224726,281,"-","FL83_00044","protein_coding",NA
"45","latens_scaffold_0","scaffold_0","gene",226908,227903,996,"-","FL83_00045","protein_coding",NA
"46","latens_scaffold_0","scaffold_0","gene",228877,229732,856,"-","FL83_00046","protein_coding",NA
"47","latens_scaffold_0","scaffold_0","gene",232034,238179,6146,"-","FL83_00047","protein_coding","OG0000776"
"48","latens_scaffold_0","scaffold_0","gene",240898,249712,8815,"-","FL83_00048","protein_coding",NA
"49","latens_scaffold_0","scaffold_0","gene",257775,261629,3855,"+","FL83_00049","protein_coding",NA
"50","latens_scaffold_0","scaffold_0","gene",263506,264809,1304,"-","FL83_00050","protein_coding","OG0007681"
"51","latens_scaffold_0","scaffold_0","gene",267513,273184,5672,"-","FL83_00051","protein_coding","OG0003122"
"52","latens_scaffold_0","scaffold_0","gene",280573,281037,465,"-","FL83_00052","protein_coding","OG0007679"
"53","latens_scaffold_0","scaffold_0","gene",283255,283536,282,"-","FL83_00053","protein_coding","OG0016936"
"54","latens_scaffold_0","scaffold_0","gene",289278,295552,6275,"+","FL83_00054","protein_coding","OG0007678"
"55","latens_scaffold_0","scaffold_0","gene",290066,291405,1340,"-","FL83_00055","protein_coding",NA
"56","latens_scaffold_0","scaffold_0","gene",295890,297908,2019,"-","FL83_00056","protein_coding","OG0007677"
"57","latens_scaffold_0","scaffold_0","gene",306505,308468,1964,"-","FL83_00057","protein_coding",NA
"58","latens_scaffold_0","scaffold_0","gene",317041,318491,1451,"+","FL83_00058","protein_coding","OG0001232"
"59","latens_scaffold_0","scaffold_0","gene",319529,320779,1251,"+","FL83_00059","protein_coding","OG0007676"
"60","latens_scaffold_0","scaffold_0","gene",321381,322418,1038,"-","FL83_00060","protein_coding","OG0007675"
"61","latens_scaffold_0","scaffold_0","gene",329535,329914,380,"-","FL83_00061","protein_coding",NA
"62","latens_scaffold_0","scaffold_0","gene",330633,335938,5306,"+","FL83_00062","protein_coding","OG0011497"
"63","latens_scaffold_0","scaffold_0","gene",337242,340460,3219,"-","FL83_00063","protein_coding",NA
"64","latens_scaffold_0","scaffold_0","gene",342526,343637,1112,"-","FL83_00064","protein_coding","OG0000649"
"65","latens_scaffold_0","scaffold_0","gene",344567,346092,1526,"-","FL83_00065","protein_coding",NA
"66","latens_scaffold_0","scaffold_0","gene",347563,348371,809,"-","FL83_00066","protein_coding","OG0023055"
"67","latens_scaffold_0","scaffold_0","gene",349335,350276,942,"-","FL83_00067","protein_coding",NA
"68","latens_scaffold_0","scaffold_0","gene",353313,353573,261,"-","FL83_00068","protein_coding",NA
"69","latens_scaffold_0","scaffold_0","gene",358025,362429,4405,"+","FL83_00069","protein_coding","OG0003120"
"70","latens_scaffold_0","scaffold_0","gene",362914,364510,1597,"-","FL83_00070","protein_coding","OG0007674"
"71","latens_scaffold_0","scaffold_0","gene",369405,370412,1008,"+","FL83_00071","protein_coding","OG0007673"
"72","latens_scaffold_0","scaffold_0","gene",372445,373153,709,"+","FL83_00072","protein_coding","OG0013109"
"73","latens_scaffold_0","scaffold_0","gene",374006,374507,502,"-","FL83_00073","protein_coding","OG0007672"
"74","latens_scaffold_0","scaffold_0","gene",375916,378124,2209,"-","FL83_00074","protein_coding","OG0006603"
"75","latens_scaffold_0","scaffold_0","gene",380372,381047,676,"+","FL83_00075","protein_coding","OG0012953"
"76","latens_scaffold_0","scaffold_0","gene",391460,392174,715,"-","FL83_00076","protein_coding",NA
"77","latens_scaffold_0","scaffold_0","gene",394523,404309,9787,"+","FL83_00077","protein_coding","OG0006602"
"78","latens_scaffold_0","scaffold_0","gene",404999,405818,820,"+","FL83_00078","protein_coding","OG0011091"
"79","latens_scaffold_0","scaffold_0","gene",406143,408202,2060,"-","FL83_00079","protein_coding","OG0006601"
"80","latens_scaffold_0","scaffold_0","gene",411099,411345,247,"-","FL83_00080","protein_coding",NA
"81","latens_scaffold_0","scaffold_0","gene",411577,411857,281,"-","FL83_00081","protein_coding","OG0006600"
"82","latens_scaffold_0","scaffold_0","gene",414987,418782,3796,"+","FL83_00082","protein_coding","OG0006599"
"83","latens_scaffold_0","scaffold_0","gene",420152,422229,2078,"-","FL83_00083","protein_coding","OG0000732"
"84","latens_scaffold_0","scaffold_0","gene",426499,429406,2908,"-","FL83_00084","protein_coding","OG0003976"
"85","latens_scaffold_0","scaffold_0","gene",437652,440030,2379,"+","FL83_00085","protein_coding","OG0006598"
"86","latens_scaffold_0","scaffold_0","gene",440469,442893,2425,"-","FL83_00086","protein_coding","OG0012952"
"87","latens_scaffold_0","scaffold_0","gene",446307,448620,2314,"+","FL83_00087","protein_coding","OG0013933"
"88","latens_scaffold_0","scaffold_0","gene",450562,455224,4663,"+","FL83_00088","protein_coding","OG0017722"
"89","latens_scaffold_0","scaffold_0","gene",455868,458317,2450,"+","FL83_00089","protein_coding","OG0002283"
"90","latens_scaffold_0","scaffold_0","gene",459596,461086,1491,"+","FL83_00090","protein_coding",NA
"91","latens_scaffold_0","scaffold_0","gene",461976,462621,646,"-","FL83_00091","protein_coding","OG0023194"
"92","latens_scaffold_0","scaffold_0","gene",466091,469352,3262,"-","FL83_00092","protein_coding",NA
"93","latens_scaffold_0","scaffold_0","gene",473348,476465,3118,"-","FL83_00093","protein_coding",NA
"94","latens_scaffold_0","scaffold_0","gene",480146,480644,499,"-","FL83_00094","protein_coding",NA
"95","latens_scaffold_0","scaffold_0","gene",481322,481728,407,"-","FL83_00095","protein_coding",NA
"96","latens_scaffold_0","scaffold_0","gene",482069,482676,608,"-","FL83_00096","protein_coding",NA
"97","latens_scaffold_0","scaffold_0","gene",482841,483584,744,"+","FL83_00097","protein_coding","OG0000812"
"98","latens_scaffold_0","scaffold_0","gene",483620,484325,706,"+","FL83_00098","protein_coding",NA
"99","latens_scaffold_0","scaffold_0","gene",491634,493950,2317,"+","FL83_00099","protein_coding",NA
"100","latens_scaffold_0","scaffold_0","gene",502371,506771,4401,"+","FL83_00100","protein_coding",NA
"101","latens_scaffold_0","scaffold_0","gene",507642,510673,3032,"+","FL83_00101","protein_coding","OG0003975"
"102","latens_scaffold_0","scaffold_0","gene",511810,512887,1078,"+","FL83_00102","protein_coding","OG0006596"
"103","latens_scaffold_0","scaffold_0","gene",513367,513827,461,"+","FL83_00103","protein_coding",NA
"104","latens_scaffold_0","scaffold_0","gene",514949,515356,408,"+","FL83_00104","protein_coding","OG0021873"
"105","latens_scaffold_0","scaffold_0","gene",516677,522281,5605,"+","FL83_00105","protein_coding","OG0001669"
"106","latens_scaffold_0","scaffold_0","gene",522715,526898,4184,"+","FL83_00106","protein_coding","OG0006595"
"107","latens_scaffold_0","scaffold_0","gene",524180,525097,918,"-","FL83_00107","protein_coding","OG0011089"
"108","latens_scaffold_0","scaffold_0","gene",527424,529058,1635,"+","FL83_00108","protein_coding","OG0000164"
"109","latens_scaffold_0","scaffold_0","gene",529365,534611,5247,"-","FL83_00109","protein_coding","OG0011088"
"110","latens_scaffold_0","scaffold_0","gene",537775,539269,1495,"-","FL83_00110","protein_coding","OG0017442"
"111","latens_scaffold_0","scaffold_0","gene",541417,544422,3006,"-","FL83_00111","protein_coding","OG0006594"
"112","latens_scaffold_0","scaffold_0","gene",547396,547837,442,"-","FL83_00112","protein_coding",NA
"113","latens_scaffold_0","scaffold_0","gene",548151,549362,1212,"+","FL83_00113","protein_coding","OG0021917"
"114","latens_scaffold_0","scaffold_0","gene",549959,553169,3211,"-","FL83_00114","protein_coding","OG0018967"
"115","latens_scaffold_0","scaffold_0","gene",561363,562847,1485,"+","FL83_00115","protein_coding","OG0000345"
"116","latens_scaffold_0","scaffold_0","gene",564740,568658,3919,"+","FL83_00116","protein_coding","OG0017464"
"117","latens_scaffold_0","scaffold_0","gene",569445,570522,1078,"+","FL83_00117","protein_coding","OG0014458"
"118","latens_scaffold_0","scaffold_0","gene",574695,575186,492,"+","FL83_00118","protein_coding",NA
"119","latens_scaffold_0","scaffold_0","gene",577384,578699,1316,"-","FL83_00119","protein_coding","OG0021957"
"120","latens_scaffold_0","scaffold_0","gene",579236,584379,5144,"-","FL83_00120","protein_coding","OG0000244"
"121","latens_scaffold_0","scaffold_0","gene",584200,586066,1867,"+","FL83_00121","protein_coding",NA
"122","latens_scaffold_0","scaffold_0","gene",585660,591383,5724,"-","FL83_00122","protein_coding","OG0008654"
"123","latens_scaffold_0","scaffold_0","gene",598813,599734,922,"-","FL83_00123","protein_coding","OG0014729"
"124","latens_scaffold_0","scaffold_0","gene",610872,614861,3990,"+","FL83_00124","protein_coding","OG0008655"
"125","latens_scaffold_0","scaffold_0","gene",616453,618495,2043,"+","FL83_00125","protein_coding","OG0008656"
"126","latens_scaffold_0","scaffold_0","gene",619654,621923,2270,"-","FL83_00126","protein_coding","OG0008657"
"127","latens_scaffold_0","scaffold_0","gene",624073,627559,3487,"+","FL83_00127","protein_coding","OG0008658"
"128","latens_scaffold_0","scaffold_0","gene",627768,630230,2463,"-","FL83_00128","protein_coding","OG0002191"
"129","latens_scaffold_0","scaffold_0","gene",632496,636422,3927,"+","FL83_00129","protein_coding","OG0008659"
"130","latens_scaffold_0","scaffold_0","gene",636834,639267,2434,"+","FL83_00130","protein_coding","OG0004508"
"131","latens_scaffold_0","scaffold_0","gene",640233,643309,3077,"+","FL83_00131","protein_coding","OG0002579"
"132","latens_scaffold_0","scaffold_0","gene",644295,644805,511,"+","FL83_00132","protein_coding","OG0013719"
"133","latens_scaffold_0","scaffold_0","gene",649959,650286,328,"-","FL83_00133","protein_coding",NA
"134","latens_scaffold_0","scaffold_0","gene",663740,668231,4492,"+","FL83_00134","protein_coding","OG0008660"
"135","latens_scaffold_0","scaffold_0","gene",668577,669518,942,"-","FL83_00135","protein_coding",NA
"136","latens_scaffold_0","scaffold_0","gene",671583,671861,279,"-","FL83_00136","protein_coding","OG0008661"
"137","latens_scaffold_0","scaffold_0","gene",683302,683853,552,"+","FL83_00137","protein_coding","OG0016114"
"138","latens_scaffold_0","scaffold_0","gene",684239,684505,267,"-","FL83_00138","protein_coding","OG0022109"
"139","latens_scaffold_0","scaffold_0","gene",688958,694190,5233,"+","FL83_00139","protein_coding","OG0008662"
"140","latens_scaffold_0","scaffold_0","gene",694732,697119,2388,"-","FL83_00140","protein_coding","OG0011858"
"141","latens_scaffold_0","scaffold_0","gene",698123,705376,7254,"-","FL83_00141","protein_coding","OG0004509"
"142","latens_scaffold_0","scaffold_0","gene",711810,713474,1665,"-","FL83_00142","protein_coding","OG0004510"
"143","latens_scaffold_0","scaffold_0","gene",716474,718850,2377,"+","FL83_00143","protein_coding","OG0008663"
"144","latens_scaffold_0","scaffold_0","gene",719811,721354,1544,"+","FL83_00144","protein_coding","OG0008664"
"145","latens_scaffold_0","scaffold_0","gene",721520,724259,2740,"-","FL83_00145","protein_coding","OG0008665"
"146","latens_scaffold_0","scaffold_0","gene",724950,726572,1623,"-","FL83_00146","protein_coding","OG0008666"
"147","latens_scaffold_0","scaffold_0","gene",727519,728766,1248,"-","FL83_00147","protein_coding","OG0011859"
"148","latens_scaffold_0","scaffold_0","gene",729749,731302,1554,"+","FL83_00148","protein_coding","OG0011860"
"149","latens_scaffold_0","scaffold_0","gene",732749,734358,1610,"+","FL83_00149","protein_coding","OG0008667"
"150","latens_scaffold_0","scaffold_0","gene",734554,735590,1037,"-","FL83_00150","protein_coding","OG0008668"
"151","latens_scaffold_0","scaffold_0","gene",736391,737301,911,"-","FL83_00151","protein_coding","OG0000088"
"152","latens_scaffold_0","scaffold_0","gene",742830,744779,1950,"+","FL83_00152","protein_coding","OG0008669"
"153","latens_scaffold_0","scaffold_0","gene",745094,746379,1286,"+","FL83_00153","protein_coding","OG0008670"
"154","latens_scaffold_0","scaffold_0","gene",749070,751820,2751,"+","FL83_00154","protein_coding","OG0008671"
"155","latens_scaffold_0","scaffold_0","gene",752921,753832,912,"-","FL83_00155","protein_coding","OG0008672"
"156","latens_scaffold_0","scaffold_0","gene",758014,769009,10996,"+","FL83_00156","protein_coding","OG0004511"
"157","latens_scaffold_0","scaffold_0","gene",769990,770997,1008,"-","FL83_00157","protein_coding","OG0022208"
"158","latens_scaffold_0","scaffold_0","gene",772813,775658,2846,"+","FL83_00158","protein_coding","OG0022220"
"159","latens_scaffold_0","scaffold_0","gene",776064,777444,1381,"-","FL83_00159","protein_coding","OG0001216"
"160","latens_scaffold_0","scaffold_0","gene",779632,781173,1542,"-","FL83_00160","protein_coding","OG0022242"
"161","latens_scaffold_0","scaffold_0","gene",782125,783574,1450,"-","FL83_00161","protein_coding","OG0022250"
"162","latens_scaffold_0","scaffold_0","gene",784741,785859,1119,"-","FL83_00162","protein_coding","OG0022256"
"163","latens_scaffold_0","scaffold_0","gene",787603,788923,1321,"-","FL83_00163","protein_coding","OG0000809"
"164","latens_scaffold_0","scaffold_0","gene",791261,793513,2253,"+","FL83_00164","protein_coding","OG0001966"
"165","latens_scaffold_0","scaffold_0","gene",793960,794811,852,"+","FL83_00165","protein_coding","OG0014908"
"166","latens_scaffold_0","scaffold_0","gene",795378,800373,4996,"+","FL83_00166","protein_coding","OG0008673"
"167","latens_scaffold_0","scaffold_0","gene",800753,802095,1343,"+","FL83_00167","protein_coding","OG0008674"
"168","latens_scaffold_0","scaffold_0","gene",802701,804881,2181,"+","FL83_00168","protein_coding","OG0008675"
"169","latens_scaffold_0","scaffold_0","gene",804926,807506,2581,"-","FL83_00169","protein_coding","OG0004512"
"170","latens_scaffold_0","scaffold_0","gene",808489,811198,2710,"-","FL83_00170","protein_coding","OG0011861"
"171","latens_scaffold_0","scaffold_0","gene",811786,813429,1644,"-","FL83_00171","protein_coding","OG0000828"
