"","seq_id","seqnames","type","start","end","width","strand","gene_id","gene_biotype","Orthogroup"
"1","panamensis_CSP28.scaffold1720_cov160","CSP28.scaffold1720_cov160","gene",1,1010,1010,"-","CSP28.g1","protein_coding","OG0013726"
"2","panamensis_CSP28.scaffold182_cov88","CSP28.scaffold182_cov88","gene",8256,9385,1130,"+","CSP28.g10","protein_coding","OG0001046"
"3","panamensis_CSP28.scaffold3350_cov80","CSP28.scaffold3350_cov80","gene",149026,149871,846,"+","CSP28.g100","protein_coding","OG0020616"
"4","panamensis_CSP28.scaffold16_cov82","CSP28.scaffold16_cov82","gene",522741,526108,3368,"-","CSP28.g1000","protein_coding","OG0005575"
"5","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",195288,197142,1855,"-","CSP28.g10000","protein_coding","OG0000475"
"6","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",197269,198736,1468,"-","CSP28.g10001","protein_coding",NA
"7","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",200523,200735,213,"-","CSP28.g10002","protein_coding","OG0011878"
"8","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",200883,201387,505,"+","CSP28.g10003","protein_coding",NA
"9","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",202098,202316,219,"-","CSP28.g10004","protein_coding",NA
"10","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",202793,205917,3125,"-","CSP28.g10005","protein_coding","OG0001504"
"11","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",206348,206691,344,"-","CSP28.g10006","protein_coding","OG0012963"
"12","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",206760,208009,1250,"+","CSP28.g10007","protein_coding",NA
"13","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",208513,209095,583,"+","CSP28.g10008","protein_coding",NA
"14","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",209240,211191,1952,"-","CSP28.g10009","protein_coding","OG0020170"
"15","panamensis_CSP28.scaffold16_cov82","CSP28.scaffold16_cov82","gene",526432,527575,1144,"-","CSP28.g1001","protein_coding",NA
"16","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",212692,213228,537,"-","CSP28.g10010","protein_coding","OG0011122"
"17","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",215028,217432,2405,"-","CSP28.g10011","protein_coding","OG0013945"
"18","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",220243,220623,381,"-","CSP28.g10012","protein_coding","OG0001505"
"19","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",220910,223015,2106,"-","CSP28.g10013","protein_coding",NA
"20","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",224493,225741,1249,"-","CSP28.g10014","protein_coding","OG0011123"
"21","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",226833,227281,449,"-","CSP28.g10015","protein_coding","OG0002968"
"22","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",227480,227979,500,"+","CSP28.g10016","protein_coding",NA
"23","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",228044,228576,533,"-","CSP28.g10017","protein_coding","OG0013630"
"24","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",228960,229457,498,"+","CSP28.g10018","protein_coding","OG0000985"
"25","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",229782,230294,513,"-","CSP28.g10019","protein_coding","OG0013629"
"26","panamensis_CSP28.scaffold16_cov82","CSP28.scaffold16_cov82","gene",528106,528858,753,"+","CSP28.g1002","protein_coding","OG0012782"
"27","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",230816,231332,517,"+","CSP28.g10020","protein_coding",NA
"28","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",231365,231805,441,"-","CSP28.g10021","protein_coding",NA
"29","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",231975,232481,507,"-","CSP28.g10022","protein_coding",NA
"30","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",232865,233398,534,"+","CSP28.g10023","protein_coding",NA
"31","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",233694,235109,1416,"+","CSP28.g10024","protein_coding","OG0000986"
"32","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",235731,236212,482,"+","CSP28.g10025","protein_coding",NA
"33","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",237002,238235,1234,"-","CSP28.g10026","protein_coding","OG0004003"
"34","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",239212,242378,3167,"-","CSP28.g10027","protein_coding","OG0006684"
"35","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",243993,244240,248,"-","CSP28.g10028","protein_coding","OG0015139"
"36","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",245489,247555,2067,"-","CSP28.g10029","protein_coding","OG0006685"
"37","panamensis_CSP28.scaffold16_cov82","CSP28.scaffold16_cov82","gene",530631,531822,1192,"+","CSP28.g1003","protein_coding","OG0010687"
"38","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",248509,249248,740,"+","CSP28.g10030","protein_coding","OG0019583"
"39","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",250002,250865,864,"-","CSP28.g10031","protein_coding",NA
"40","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",251107,255394,4288,"-","CSP28.g10032","protein_coding","OG0011124"
"41","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",255637,256269,633,"-","CSP28.g10033","protein_coding","OG0006683"
"42","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",256963,257688,726,"+","CSP28.g10034","protein_coding","OG0006682"
"43","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",257839,258654,816,"+","CSP28.g10035","protein_coding","OG0006681"
"44","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",258754,259477,724,"-","CSP28.g10036","protein_coding","OG0015982"
"45","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",259762,262837,3076,"-","CSP28.g10037","protein_coding","OG0000512"
"46","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",263444,274090,10647,"-","CSP28.g10038","protein_coding","OG0002970"
"47","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",283644,284464,821,"-","CSP28.g10039","protein_coding","OG0016896"
"48","panamensis_CSP28.scaffold16_cov82","CSP28.scaffold16_cov82","gene",532086,533652,1567,"+","CSP28.g1004","protein_coding","OG0001469"
"49","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",284694,286611,1918,"-","CSP28.g10040","protein_coding","OG0006680"
"50","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",289270,291708,2439,"-","CSP28.g10041","protein_coding","OG0004002"
"51","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",292279,295569,3291,"+","CSP28.g10042","protein_coding","OG0002969"
"52","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",296176,297506,1331,"+","CSP28.g10043","protein_coding","OG0002441"
"53","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",297573,298893,1321,"-","CSP28.g10044","protein_coding","OG0001674"
"54","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",299115,300064,950,"+","CSP28.g10045","protein_coding","OG0014635"
"55","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",301365,301643,279,"-","CSP28.g10046","protein_coding",NA
"56","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",301849,302134,286,"-","CSP28.g10047","protein_coding",NA
"57","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",303067,303352,286,"-","CSP28.g10048","protein_coding",NA
"58","panamensis_CSP28.scaffold3334_cov85","CSP28.scaffold3334_cov85","gene",303514,304110,597,"+","CSP28.g10049","protein_coding","OG0014637"
