"","seq_id","seqnames","type","start","end","width","strand","gene_id","gene_biotype","Orthogroup"
"1","briggsae_I","I","gene",9581885,9591354,9470,"+","WBGene00000307","protein_coding","OG0010044"
"2","briggsae_III","III","gene",10299614,10300924,1311,"-","WBGene00000312","protein_coding","OG0002195"
"3","briggsae_V","V","gene",11874411,11883367,8957,"+","WBGene00000324","protein_coding","OG0011410"
"4","briggsae_III","III","gene",120404,123973,3570,"-","WBGene00000328","protein_coding","OG0008104"
"5","briggsae_IV","IV","gene",4390949,4394091,3143,"-","WBGene00000329","protein_coding","OG0011975"
"6","briggsae_X","X","gene",8164674,8165942,1269,"-","WBGene00000332","protein_coding","OG0000516"
"7","briggsae_X","X","gene",8163283,8164564,1282,"-","WBGene00000333","protein_coding","OG0000516"
"8","briggsae_X","X","gene",8165919,8167990,2072,"-","WBGene00000343","protein_coding","OG0011012"
"9","briggsae_X","X","gene",13321444,13326552,5109,"+","WBGene00000365","protein_coding","OG0000244"
"10","briggsae_III","III","gene",12070280,12073911,3632,"+","WBGene00023521","protein_coding","OG0009551"
"11","briggsae_III","III","gene",12076608,12077007,400,"-","WBGene00023522","protein_coding","OG0009231"
"12","briggsae_III","III","gene",12079255,12080113,859,"+","WBGene00023523","protein_coding","OG0016127"
"13","briggsae_III","III","gene",12091221,12113489,22269,"+","WBGene00023525","protein_coding","OG0009550"
"14","briggsae_III","III","gene",12114106,12118645,4540,"-","WBGene00023526","protein_coding","OG0003751"
"15","briggsae_III","III","gene",12120409,12129071,8663,"-","WBGene00023527","protein_coding","OG0001755"
"16","briggsae_III","III","gene",12141108,12144449,3342,"+","WBGene00023528","protein_coding","OG0010398"
"17","briggsae_III","III","gene",12148499,12164409,15911,"+","WBGene00023529","protein_coding","OG0000040"
"18","briggsae_III","III","gene",12160729,12160875,147,"-","WBGene00023530","protein_coding","OG0020715"
"19","briggsae_III","III","gene",12169374,12170807,1434,"-","WBGene00023532","protein_coding","OG0000199"
"20","briggsae_III","III","gene",12173529,12190803,17275,"-","WBGene00023533","protein_coding","OG0001018"
"21","briggsae_III","III","gene",12201638,12206129,4492,"+","WBGene00023536","protein_coding","OG0008735"
"22","briggsae_III","III","gene",12215139,12219887,4749,"-","WBGene00023537","protein_coding","OG0008736"
"23","briggsae_III","III","gene",12245937,12250179,4243,"+","WBGene00023538","protein_coding","OG0008737"
"24","briggsae_III","III","gene",12269854,12281720,11867,"+","WBGene00023539","protein_coding","OG0002193"
"25","briggsae_III","III","gene",12284341,12285499,1159,"+","WBGene00023540","protein_coding","OG0008738"
"26","briggsae_III","III","gene",12286423,12288524,2102,"+","WBGene00023541","protein_coding","OG0008739"
"27","briggsae_III","III","gene",12292055,12297456,5402,"+","WBGene00023542","protein_coding","OG0003267"
"28","briggsae_III","III","gene",12298627,12301453,2827,"+","WBGene00023543","protein_coding","OG0004542"
"29","briggsae_III","III","gene",12301886,12302720,835,"-","WBGene00023544","protein_coding","OG0017069"
"30","briggsae_III","III","gene",12302904,12307278,4375,"-","WBGene00023545","protein_coding","OG0001968"
"31","briggsae_III","III","gene",12310288,12314263,3976,"+","WBGene00023546","protein_coding","OG0001968"
"32","briggsae_III","III","gene",12321799,12342267,20469,"+","WBGene00023547","protein_coding","OG0001371"
"33","briggsae_III","III","gene",12345317,12354612,9296,"-","WBGene00023548","protein_coding","OG0012130"
"34","briggsae_III","III","gene",12355445,12357284,1840,"+","WBGene00023549","protein_coding","OG0018340"
"35","briggsae_III","III","gene",12357922,12358444,523,"+","WBGene00023550","protein_coding",NA
"36","briggsae_III","III","gene",12364837,12365446,610,"+","WBGene00023551","protein_coding","OG0002193"
"37","briggsae_X","X","gene",14050805,14064769,13965,"-","WBGene00023552","protein_coding","OG0004636"
"38","briggsae_X","X","gene",14090339,14091105,767,"+","WBGene00023553","protein_coding","OG0016128"
"39","briggsae_X","X","gene",14092331,14095144,2814,"-","WBGene00023554","protein_coding","OG0004637"
"40","briggsae_X","X","gene",14100949,14112218,11270,"-","WBGene00023555","protein_coding","OG0011999"
"41","briggsae_X","X","gene",14109099,14112218,3120,"+","WBGene00023556","protein_coding","OG0013278"
"42","briggsae_X","X","gene",14119408,14120793,1386,"+","WBGene00023557","protein_coding","OG0000517"
"43","briggsae_X","X","gene",14122594,14126855,4262,"-","WBGene00023558","protein_coding","OG0015452"
"44","briggsae_X","X","gene",14139270,14141475,2206,"+","WBGene00023559","protein_coding","OG0020716"
"45","briggsae_X","X","gene",14143229,14144941,1713,"+","WBGene00023560","protein_coding","OG0017070"
"46","briggsae_X","X","gene",14146715,14147335,621,"+","WBGene00023561","protein_coding","OG0014260"
"47","briggsae_X","X","gene",14147419,14149188,1770,"-","WBGene00023562","protein_coding","OG0009036"
"48","briggsae_X","X","gene",14175296,14193774,18479,"+","WBGene00023564","protein_coding","OG0009035"
"49","briggsae_X","X","gene",14194857,14195754,898,"-","WBGene00023565","protein_coding","OG0012000"
"50","briggsae_X","X","gene",14197072,14197858,787,"-","WBGene00023566","protein_coding","OG0002604"
"51","briggsae_X","X","gene",14198140,14200349,2210,"-","WBGene00023567","protein_coding","OG0000018"
"52","briggsae_X","X","gene",14200870,14202262,1393,"-","WBGene00023568","protein_coding","OG0000018"
"53","briggsae_X","X","gene",14205097,14209020,3924,"-","WBGene00023569","protein_coding","OG0009034"
"54","briggsae_X","X","gene",14219756,14222407,2652,"+","WBGene00023570","protein_coding","OG0009033"
"55","briggsae_X","X","gene",14223502,14225932,2431,"-","WBGene00023571","protein_coding","OG0009031"
"56","briggsae_X","X","gene",14231344,14235845,4502,"+","WBGene00023572","protein_coding","OG0000262"
"57","briggsae_X","X","gene",14237855,14242632,4778,"+","WBGene00023573","protein_coding","OG0000262"
"58","briggsae_X","X","gene",14248858,14254058,5201,"+","WBGene00023574","protein_coding","OG0020717"
"59","briggsae_X","X","gene",14254220,14258745,4526,"-","WBGene00023575","protein_coding","OG0000262"
"60","briggsae_X","X","gene",14260186,14274579,14394,"+","WBGene00023576","protein_coding","OG0000441"
"61","briggsae_X","X","gene",14276795,14281754,4960,"+","WBGene00023577","protein_coding","OG0000262"
"62","briggsae_X","X","gene",14290110,14291344,1235,"+","WBGene00023578","protein_coding","OG0012568"
"63","briggsae_X","X","gene",14291433,14294463,3031,"-","WBGene00023579","protein_coding","OG0003126"
"64","briggsae_X","X","gene",14299882,14311936,12055,"-","WBGene00023580","protein_coding","OG0007703"
"65","briggsae_X","X","gene",14322119,14327178,5060,"+","WBGene00023581","protein_coding","OG0007702"
"66","briggsae_X","X","gene",14327333,14328015,683,"+","WBGene00023582","protein_coding","OG0013111"
"67","briggsae_X","X","gene",14345449,14349521,4073,"-","WBGene00023583","protein_coding","OG0007701"
"68","briggsae_X","X","gene",14355003,14356430,1428,"+","WBGene00023584","protein_coding","OG0007700"
