"","seq_id","seqnames","type","start","end","width","strand","gene_id","gene_biotype","Orthogroup"
"1","inopinata_Sp34_Chr1","Sp34_Chr1","gene",3025,3855,831,"+","Sp34_10000100","protein_coding","OG0018859"
"2","inopinata_Sp34_Chr1","Sp34_Chr1","gene",12640,13470,831,"+","Sp34_10000200","protein_coding",NA
"3","inopinata_Sp34_Chr1","Sp34_Chr1","gene",15959,20678,4720,"+","Sp34_10000300","protein_coding","OG0021734"
"4","inopinata_Sp34_Chr1","Sp34_Chr1","gene",22255,23085,831,"+","Sp34_10000400","protein_coding",NA
"5","inopinata_Sp34_Chr1","Sp34_Chr1","gene",30340,35360,5021,"-","Sp34_10000510","protein_coding","OG0000193"
"6","inopinata_Sp34_Chr1","Sp34_Chr1","gene",35543,38534,2992,"+","Sp34_10000600","protein_coding","OG0012611"
"7","inopinata_Sp34_Chr1","Sp34_Chr1","gene",38881,40183,1303,"-","Sp34_10000700","protein_coding","OG0008730"
"8","inopinata_Sp34_Chr1","Sp34_Chr1","gene",40445,43947,3503,"-","Sp34_10000810","protein_coding","OG0003780"
"9","inopinata_Sp34_Chr1","Sp34_Chr1","gene",44451,46915,2465,"-","Sp34_10000820","protein_coding","OG0010814"
"10","inopinata_Sp34_Chr1","Sp34_Chr1","gene",47517,48219,703,"-","Sp34_10000900","protein_coding","OG0005861"
"11","inopinata_Sp34_Chr1","Sp34_Chr1","gene",48761,55620,6860,"+","Sp34_10001000","protein_coding","OG0003669"
"12","inopinata_Sp34_Chr1","Sp34_Chr1","gene",56046,56321,276,"-","Sp34_10001100","protein_coding","OG0000943"
"13","inopinata_Sp34_Chr1","Sp34_Chr1","gene",58405,60447,2043,"-","Sp34_10001200","protein_coding","OG0000299"
"14","inopinata_Sp34_Chr1","Sp34_Chr1","gene",64676,65685,1010,"+","Sp34_10001300","protein_coding","OG0000632"
"15","inopinata_Sp34_Chr1","Sp34_Chr1","gene",67527,68336,810,"+","Sp34_10001400","protein_coding","OG0021735"
"16","inopinata_Sp34_Chr1","Sp34_Chr1","gene",72050,79955,7906,"+","Sp34_10001500","protein_coding","OG0005862"
"17","inopinata_Sp34_Chr1","Sp34_Chr1","gene",80379,86642,6264,"-","Sp34_10001600","protein_coding","OG0005863"
"18","inopinata_Sp34_Chr1","Sp34_Chr1","gene",86953,88022,1070,"+","Sp34_10001710","protein_coding","OG0012852"
"19","inopinata_Sp34_Chr1","Sp34_Chr1","gene",88483,89473,991,"+","Sp34_10001720","protein_coding","OG0015537"
"20","inopinata_Sp34_Chr1","Sp34_Chr1","gene",90355,92559,2205,"+","Sp34_10001800","protein_coding","OG0005864"
"21","inopinata_Sp34_Chr1","Sp34_Chr1","gene",92819,99406,6588,"-","Sp34_10001900","protein_coding","OG0010052"
"22","inopinata_Sp34_Chr1","Sp34_Chr1","gene",105900,108443,2544,"-","Sp34_10002000","protein_coding","OG0001862"
"23","inopinata_Sp34_Chr1","Sp34_Chr1","gene",108780,111217,2438,"+","Sp34_10002100","protein_coding","OG0008988"
"24","inopinata_Sp34_Chr1","Sp34_Chr1","gene",115146,119973,4828,"+","Sp34_10002200","protein_coding","OG0000958"
"25","inopinata_Sp34_Chr1","Sp34_Chr1","gene",120728,121792,1065,"+","Sp34_10002300","protein_coding","OG0010825"
"26","inopinata_Sp34_Chr1","Sp34_Chr1","gene",122106,124373,2268,"+","Sp34_10002400","protein_coding","OG0005894"
"27","inopinata_Sp34_Chr1","Sp34_Chr1","gene",125074,127311,2238,"+","Sp34_10002500","protein_coding","OG0010824"
"28","inopinata_Sp34_Chr1","Sp34_Chr1","gene",128447,132242,3796,"+","Sp34_10002610","protein_coding","OG0010823"
"29","inopinata_Sp34_Chr1","Sp34_Chr1","gene",132748,133366,619,"+","Sp34_10002620","protein_coding","OG0010822"
