"","seq_id","seqnames","type","start","end","width","strand","gene_id","gene_biotype","Orthogroup"
"1","bovis_CBOVI.ctg00001_chrV","CBOVI.ctg00001_chrV","gene",19378,23528,4151,"+","CBOVI.g1","protein_coding","OG0007400"
"2","bovis_CBOVI.ctg00001_chrV","CBOVI.ctg00001_chrV","gene",72925,75751,2827,"+","CBOVI.g10","protein_coding","OG0007163"
"3","bovis_CBOVI.ctg00001_chrV","CBOVI.ctg00001_chrV","gene",417212,418825,1614,"-","CBOVI.g100","protein_coding","OG0007154"
"4","bovis_CBOVI.ctg00001_chrV","CBOVI.ctg00001_chrV","gene",4851254,4853895,2642,"+","CBOVI.g1000","protein_coding","OG0004037"
"5","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",183489,184812,1324,"+","CBOVI.g10000","protein_coding","OG0005923"
"6","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",185149,186470,1322,"-","CBOVI.g10001","protein_coding","OG0005917"
"7","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",192801,195294,2494,"+","CBOVI.g10002","protein_coding","OG0005924"
"8","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",196297,199126,2830,"-","CBOVI.g10003","protein_coding","OG0003791"
"9","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",207323,220293,12971,"-","CBOVI.g10004","protein_coding","OG0010295"
"10","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",220861,221965,1105,"-","CBOVI.g10005","protein_coding","OG0012440"
"11","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",222118,223195,1078,"-","CBOVI.g10006","protein_coding","OG0010302"
"12","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",224396,228203,3808,"-","CBOVI.g10007","protein_coding",NA
"13","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",230828,237233,6406,"+","CBOVI.g10008","protein_coding","OG0003590"
"14","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",237840,244128,6289,"-","CBOVI.g10009","protein_coding","OG0005331"
"15","bovis_CBOVI.ctg00001_chrV","CBOVI.ctg00001_chrV","gene",4854086,4855804,1719,"+","CBOVI.g1001","protein_coding","OG0001226"
"16","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",245041,247354,2314,"+","CBOVI.g10010","protein_coding","OG0005330"
"17","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",247949,249531,1583,"-","CBOVI.g10011","protein_coding","OG0008247"
"18","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",249712,251771,2060,"-","CBOVI.g10012","protein_coding","OG0013190"
"19","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",251940,255070,3131,"-","CBOVI.g10013","protein_coding","OG0008243"
"20","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",255272,257350,2079,"+","CBOVI.g10014","protein_coding","OG0008240"
"21","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",265631,266677,1047,"+","CBOVI.g10015","protein_coding","OG0002765"
"22","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",270198,271819,1622,"+","CBOVI.g10016","protein_coding","OG0002569"
"23","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",271992,273171,1180,"+","CBOVI.g10017","protein_coding",NA
"24","bovis_CBOVI.ctg00007_chrI","CBOVI.ctg00007_chrI","gene",273216,273753,538,"-","CBOVI.g10018","protein_coding",NA
